"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","kingdom","supergroup","division","class","order","family","genus","species"
"Eukaryota","Stramenopiles","Chrysophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae",NA,NA,NA,NA
"Eukaryota","Stramenopiles","Bolidophyceae","Parmales","Triparmaceae","Bolidomonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Bolidophyceae",NA,NA,NA,NA
"Eukaryota","Stramenopiles","Labyrinthulomycetes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Sagenista","Labyrinthulomycetes",NA,NA,NA,NA
"Eukaryota","Stramenopiles","Bacillariophyta","Bacillariophyceae","Bacillariophycidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate",NA,NA
"Eukaryota","Haptista","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Hacrobia","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis",NA
"Eukaryota","Stramenopiles","Bacillariophyta","Coscinodiscophyceae","Rhizosoleniophycidae","Rhizosoleniales","Rhizosoleniaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X",NA,NA,NA
"Eukaryota","Stramenopiles","Chrysophyceae","Chromulinales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae",NA,NA,NA,NA
"Eukaryota","Stramenopiles","Raphidophyceae","Chattonellales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Raphidophyceae",NA,NA,NA,NA
"Eukaryota","Stramenopiles","Chrysophyceae","Chromulinales","Paraphysomonadaceae","Paraphysomonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_Clade-F","Paraphysomonas",NA
"Eukaryota","Stramenopiles","Chrysophyceae","Chromulinales","Chromulinaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae",NA,NA,NA,NA
"Eukaryota","Rhizaria","Cercozoa","Imbricatea","Marimonadida","Pseudopirsonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Rhizaria","Cercozoa","Filosa-Imbricatea","Marimonadida","Marimonadida_X","Pseudopirsonia",NA
"Eukaryota","Stramenopiles","Dictyochophyceae","Dictyochales","Dictyocha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Dictyochophyceae","Dictyochophyceae_X","Dictyochales","Dictyocha",NA
"Eukaryota","Opisthokonta","Fungi","Dikarya","Ascomycota","saccharomyceta","Pezizomycotina","leotiomyceta","Eurotiomycetes","Eurotiomycetidae","Eurotiales","Aspergillaceae",NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Eurotiomycetes",NA,NA
"Eukaryota","Opisthokonta","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Fungi",NA,NA,NA,NA,NA
"Eukaryota","Opisthokonta","Fungi","Dikarya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Fungi",NA,NA,NA,NA,NA
"Eukaryota","Opisthokonta","Fungi","Dikarya","Ascomycota","saccharomyceta","Saccharomycotina","Saccharomycetes","Saccharomycetales",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycotina","Saccharomycetales",NA,NA
"Eukaryota","Stramenopiles","Bacillariophyta","Coscinodiscophyceae","Coscinodiscophycidae","Coscinodiscales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X",NA,NA,NA
"Eukaryota","Stramenopiles","Bacillariophyta","Coscinodiscophyceae","Coscinodiscophycidae","Coscinodiscales","Hemidiscaceae","Actinocyclus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Radial-centric-basal-Coscinodiscophyceae","Actinocyclus",NA
"Eukaryota","Stramenopiles","Bicosoecida","Bicosoecidae","Bicosoeca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Opalozoa","Bicoecea","Bicoecales","Bicoecaceae","Bicosoeca",NA
"Eukaryota","Stramenopiles","Bicosoecida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Opalozoa","Bicoecea","Borokales","Borokaceae","Bicosoecida",NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Deuterostomia","Chordata","Tunicata","Appendicularia","Copelata","Oikopleuridae",NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Urochordata","Urochordata_X","Appendicularia",NA,NA
"Eukaryota","Stramenopiles","Bacillariophyta","Mediophyceae","Biddulphiophycidae","Biddulphiales","Biddulphiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Polar-centric-Mediophyceae",NA,NA
"Eukaryota","Stramenopiles","Bacillariophyta","Mediophyceae","Biddulphiophycidae","Biddulphiales","Biddulphiaceae","Biddulphia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Polar-centric-Mediophyceae","Biddulphia",NA
"Eukaryota","Stramenopiles","Bacillariophyta","Bacillariophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta",NA,NA,NA,NA
"Eukaryota","Viridiplantae","Chlorophyta","Mamiellophyceae","Mamiellales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Archaeplastida","Chlorophyta","Mamiellophyceae","Mamiellales",NA,NA,NA
"Eukaryota","Stramenopiles","Bacillariophyta","Coscinodiscophyceae","Coscinodiscophycidae","Melosirales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X",NA,NA,NA
"Eukaryota","Stramenopiles","Bacillariophyta","Coscinodiscophyceae","Coscinodiscophycidae","Melosirales","Stephanopyxidaceae","Stephanopyxis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Radial-centric-basal-Coscinodiscophyceae","Stephanopyxis",NA
"Eukaryota","Stramenopiles","Dictyochophyceae","Florenciellales","Pseudochattonella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Dictyochophyceae","Dictyochophyceae_X","Florenciellales","Pseudochattonella",NA
"Eukaryota","Stramenopiles","Dictyochophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Dictyochophyceae",NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Rotifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Rotifera",NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Deuterostomia","Echinodermata","Eleutherozoa","Asterozoa","Ophiuroidea",NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Echinodermata",NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Ctenophora","Tentaculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Ctenophora",NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Deuterostomia","Chordata","Craniata","Vertebrata","Gnathostomata","Teleostomi","Euteleostomi",NA,NA,NA,NA,NA,NA,"Eukaryota","Archaeplastida","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Vertebrata",NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Cnidaria","Hydrozoa","Hydroidolina","Siphonophorae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Cnidaria","Cnidaria_X","Hydrozoa",NA,NA
"Eukaryota","Stramenopiles","Bacillariophyta","Coscinodiscophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X",NA,NA,NA
"Eukaryota","Alveolata","Dinophyceae","Gonyaulacales","Lingulodinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Lingulodinium",NA
"Eukaryota","Alveolata","Dinophyceae","Noctilucales","Noctilucaceae","Noctiluca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata","Dinoflagellata","Noctilucophyceae","Noctilucales","Noctilucaceae","Noctiluca",NA
"Eukaryota","Alveolata","Dinophyceae","Thoracosphaerales","Thoracosphaeraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Thoracosphaeraceae",NA,NA
"Eukaryota","Alveolata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Paragymnodinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Paragymnodinium",NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Mollusca","Bivalvia","Pteriomorphia","Mytiloida",NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Mollusca","Bivalvia","Mytiloida",NA,NA
"Eukaryota","Viridiplantae","Chlorophyta","Chlorophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae",NA,NA,NA,NA
"Eukaryota","Alveolata","Ciliophora","Intramacronucleata","Spirotrichea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata","Ciliophora","Spirotrichea",NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Ecdysozoa","Panarthropoda","Arthropoda","Mandibulata","Pancrustacea","Crustacea","Branchiopoda","Phyllopoda","Diplostraca",NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea","Branchiopoda",NA,NA
"Eukaryota","Alveolata","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium",NA
"Eukaryota","Haptista","Haptophyta","Prymnesiophyceae","Prymnesiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Hacrobia","Haptophyta","Prymnesiophyceae","Prymnesiales",NA,NA,NA
"Eukaryota","Alveolata","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Alexandrium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Gonyaulacales","Goniodomataceae","Alexandrium",NA
"Eukaryota","Alveolata","Dinophyceae","Gymnodiniales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales",NA,NA,NA
"Eukaryota","Alveolata","Dinophyceae","Suessiales","Suessiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Suessiales","Suessiaceae",NA,NA
"Eukaryota","Alveolata","Dinophyceae","Lophodiniales","Lophodiniaceae","Woloszynskia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_X","Tovelliaceae","Woloszynskia",NA
"Eukaryota","Opisthokonta","Fungi","Dikarya","Ascomycota","saccharomyceta","Pezizomycotina","leotiomyceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina",NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Mollusca","Gastropoda","Heterobranchia",NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Mollusca","Gastropoda","Heterobranchia",NA,NA
"Eukaryota","Rhizaria","Cercozoa","Granofilosea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Rhizaria","Cercozoa","Filosa-Granofilosea",NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Nemertea","Pilidiophora","Heteronemertea",NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Nemertea",NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Nemertea",NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa",NA,NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Deuterostomia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa",NA,NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Deuterostomia","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa",NA,NA,NA,NA,NA
"Eukaryota","Opisthokonta","Fungi","Dikarya","Basidiomycota","Ustilaginomycotina","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia",NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Exobasidiomycetes","Malassezia",NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Deuterostomia","Echinodermata","Eleutherozoa","Echinozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Echinodermata",NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Cnidaria","Hydrozoa","Trachylinae","Trachymedusae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Cnidaria","Cnidaria_X","Hydrozoa",NA,NA
"Eukaryota","Opisthokonta","Choanoflagellata","Acanthoecida","Stephanoecidae","Diaphanoeca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Choanoflagellida","Choanoflagellatea","Acanthoecida","Stephanoecidae_Group_H","Diaphanoeca",NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Annelida","Polychaeta","Scolecida",NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Annelida",NA,NA,NA,NA
"Eukaryota","Alveolata","Ciliophora","Intramacronucleata","Spirotrichea","Choreotrichia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata","Ciliophora","Spirotrichea",NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Mollusca","Bivalvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Mollusca","Bivalvia",NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Mollusca","Bivalvia","Heterodonta","Euheterodonta",NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Mollusca","Bivalvia","Heteroconchia",NA,NA
"Eukaryota","Opisthokonta","Metazoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa",NA,NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Annelida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Annelida",NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Annelida","Polychaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Annelida",NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Annelida","Polychaeta","Scolecida","Terebellida",NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Terebellidae",NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Ecdysozoa","Panarthropoda","Arthropoda","Mandibulata","Pancrustacea","Hexapoda","Insecta","Dicondylia","Pterygota","Neoptera","Holometabola",NA,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Hexapoda","Insecta",NA,NA
"Eukaryota","Opisthokonta","Metazoa","Porifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Porifera",NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Mollusca","Bivalvia","Pteriomorphia",NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Mollusca","Bivalvia",NA,NA,NA
"Eukaryota","Opisthokonta","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes",NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Deuterostomia","Chordata","Tunicata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Urochordata",NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia","Lophotrochozoa","Annelida","Polychaeta","Palpata",NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Annelida",NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa",NA,NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Cnidaria",NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Cnidaria","Cnidaria_X","Hydrozoa",NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Bilateria","Protostomia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa",NA,NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Eumetazoa","Cnidaria","Hydrozoa","Hydroidolina","Anthoathecata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Cnidaria","Cnidaria_X","Hydrozoa",NA,NA
